nom,prenom,email,motdepasse,role
Lacroix,Alain,alain.lacroix@email.com,mdp123,Eleve
Fournier,Sylvie,sylvie.fournier@email.com,mdp123,Eleve
Hamel,Emmanuelle,emmanuelle.hamel@email.com,mdp123,Eleve
Renard,Gabrielle,gabrielle.renard@email.com,mdp123,Eleve
Boyer,François,francois.boyer@email.com,mdp123,Eleve
Imbert,Agnès,agnes.imbert@email.com,mdp123,Eleve
Faure,Margaux,margaux.faure@email.com,mdp123,Eleve
Collet,Michelle,michelle.collet@email.com,mdp123,Eleve
Rolland,Mathilde,mathilde.rolland@email.com,mdp123,Eleve
Foucher,Charles,charles.foucher@email.com,mdp123,Eleve
Lemaître,Philippine,philippine.lemaitre@email.com,mdp123,Eleve
Boyer,Michèle,michele.boyer@email.com,mdp123,Eleve
Raynaud,Isaac,isaac.raynaud@email.com,mdp123,Eleve
Pineau,Célina,celina.pineau@email.com,mdp123,Eleve
Lefort,Jérôme,jerome.lefort@email.com,mdp123,Eleve
Blanchard,François,francois.blanchard@email.com,mdp123,Eleve
Renault,Thierry,thierry.renault@email.com,mdp123,Eleve
Navarro,Luc,luc.navarro@email.com,mdp123,Eleve
Delorme,Élisabeth,elisabeth.delorme@email.com,mdp123,Eleve
Carre,Alfred,alfred.carre@email.com,mdp123,Eleve
François,Monique,monique.francois@email.com,mdp123,Eleve
Dupont,Aurore,aurore.dupont@email.com,mdp123,Eleve
Hebert,Alix,alix.hebert@email.com,mdp123,Eleve
Renault,Clémence,clemence.renault@email.com,mdp123,Eleve
Robert,Sébastien,sebastien.robert@email.com,mdp123,Eleve
Rémy,Jean,jean.remy@email.com,mdp123,Eleve
Barre,Julie,julie.barre@email.com,mdp123,Eleve
Mendès,Sophie,sophie.mendes@email.com,mdp123,Eleve
Duhamel,Gabriel,gabriel.duhamel@email.com,mdp123,Eleve
Labbé,Laurence,laurence.labbe@email.com,mdp123,Eleve
Thierry,Martin,martin.thierry@email.com,mdp123,Eleve
Cordier,Théophile,theophile.cordier@email.com,mdp123,Eleve
Collin,Agathe,agathe.collin@email.com,mdp123,Eleve
Toussaint,Raymond,raymond.toussaint@email.com,mdp123,Eleve
Pages,Jeanne,jeanne.pages@email.com,mdp123,Eleve
Ferrand,Marie,marie.ferrand@email.com,mdp123,Eleve
Gauthier,Aurore,aurore.gauthier@email.com,mdp123,Eleve
Fontaine,Patrick,patrick.fontaine@email.com,mdp123,Eleve
Moreno,Denise,denise.moreno@email.com,mdp123,Eleve
Martinez,Catherine,catherine.martinez@email.com,mdp123,Eleve
Berger,Éléonore,eleonore.berger@email.com,mdp123,Eleve
Diaz,Véronique,veronique.diaz@email.com,mdp123,Eleve
Lesage,Emmanuel,emmanuel.lesage@email.com,mdp123,Eleve
Thierry,Théodore,theodore.thierry@email.com,mdp123,Eleve
Tanguy,Arnaude,arnaude.tanguy@email.com,mdp123,Eleve
Rocher,Guy,guy.rocher@email.com,mdp123,Eleve
Peltier,Clémence,clemence.peltier@email.com,mdp123,Eleve
Rossi,Édouard,edouard.rossi@email.com,mdp123,Eleve
Aubry,Astrid,astrid.aubry@email.com,mdp123,Eleve
Girard,Bernard,bernard.girard@email.com,mdp123,Eleve
Chauveau,William,william.chauveau@email.com,mdp123,Eleve
Lévy,Jeanne,jeanne.levy@email.com,mdp123,Eleve
Boutin,Valentine,valentine.boutin@email.com,mdp123,Eleve
Lopes,Alain,alain.lopes@email.com,mdp123,Eleve
Marion,Xavier,xavier.marion@email.com,mdp123,Eleve
Ribeiro,William,william.ribeiro@email.com,mdp123,Eleve
Roger,Alex,alex.roger@email.com,mdp123,Eleve
Couturier,Antoine,antoine.couturier@email.com,mdp123,Eleve
Muller,Margot,margot.muller@email.com,mdp123,Eleve
Aubert,Constance,constance.aubert@email.com,mdp123,Eleve
Joseph,Andrée,andree.joseph@email.com,mdp123,Eleve
Rossi,Denis,denis.rossi@email.com,mdp123,Eleve
Dupont,Grégoire,gregoire.dupont@email.com,mdp123,Eleve
Valette,Océane,oceane.valette@email.com,mdp123,Eleve
Henry,Andrée,andree.henry@email.com,mdp123,Eleve
Lefebvre,Denise,denise.lefebvre@email.com,mdp123,Eleve
Chartier,Thibault,thibault.chartier@email.com,mdp123,Eleve
Rémy,Élise,elise.remy@email.com,mdp123,Eleve
Leclercq,Véronique,veronique.leclercq@email.com,mdp123,Eleve
Simon,Célina,celina.simon@email.com,mdp123,Eleve
Lagarde,Denis,denis.lagarde@email.com,mdp123,Eleve
Carre,Christelle,christelle.carre@email.com,mdp123,Eleve
Pineau,Isabelle,isabelle.pineau@email.com,mdp123,Eleve
Peltier,Christiane,christiane.peltier@email.com,mdp123,Eleve
Royer,Michèle,michele.royer@email.com,mdp123,Eleve
Marin,Monique,monique.marin@email.com,mdp123,Eleve
Laine,Anouk,anouk.laine@email.com,mdp123,Eleve
Costa,Léon,leon.costa@email.com,mdp123,Eleve
Carre,Antoinette,antoinette.carre@email.com,mdp123,Eleve
Muller,Luce,luce.muller@email.com,mdp123,Eleve
Rodriguez,Valentine,valentine.rodriguez@email.com,mdp123,Eleve
Jean,Suzanne,suzanne.jean@email.com,mdp123,Eleve
Rémy,Virginie,virginie.remy@email.com,mdp123,Eleve
Arnaud,Nath,nath.arnaud@email.com,mdp123,Eleve
Allard,Xavier,xavier.allard@email.com,mdp123,Eleve
Fabre,Guy,guy.fabre@email.com,mdp123,Eleve
Da Costa,Bernadette,bernadette.dacosta@email.com,mdp123,Eleve
Mace,Émilie,emilie.mace@email.com,mdp123,Eleve
Guérin,Danielle,danielle.guerin@email.com,mdp123,Eleve
Rocher,Pénélope,penelope.rocher@email.com,mdp123,Eleve
Alves,Hortense,hortense.alves@email.com,mdp123,Eleve
Ramos,Honoré,honore.ramos@email.com,mdp123,Eleve
Valette,Édouard,edouard.valette@email.com,mdp123,Eleve
Lejeune,Corinne,corinne.lejeune@email.com,mdp123,Eleve
Gérard,Margot,margot.gerard@email.com,mdp123,Eleve
Thomas,Charles,charles.thomas@email.com,mdp123,Eleve
Charles,Jeanne,jeanne.charles@email.com,mdp123,Eleve
Laine,Alexandre,alexandre.laine@email.com,mdp123,Eleve
Riou,Nathalie,nathalie.riou@email.com,mdp123,Eleve
Schneider,Anastasie,anastasie.schneider@email.com,mdp123,Eleve
Gay,Sophie,sophie.gay@email.com,mdp123,Eleve
Thibault,Michelle,michelle.thibault@email.com,mdp123,Eleve
Carre,Audrey,audrey.carre@email.com,mdp123,Eleve
Lebrun,Claire,claire.lebrun@email.com,mdp123,Eleve
Gilbert,Eugène,eugene.gilbert@email.com,mdp123,Eleve
Petitjean,Émile,emile.petitjean@email.com,mdp123,Eleve
Payet,Marthe,marthe.payet@email.com,mdp123,Eleve
Martin,Aurélie,aurelie.martin@email.com,mdp123,Eleve
Guillou,Franck,franck.guillou@email.com,mdp123,Eleve
Bonnet,Luce,luce.bonnet@email.com,mdp123,Eleve
Roche,Inès,ines.roche@email.com,mdp123,Eleve
Gros,Michelle,michelle.gros@email.com,mdp123,Eleve
Rivière,Denise,denise.riviere@email.com,mdp123,Eleve
Hamon,Joseph,joseph.hamon@email.com,mdp123,Eleve
Dumas,Timothée,timothee.dumas@email.com,mdp123,Eleve
Antoine,Rémy,remy.antoine@email.com,mdp123,Eleve
Denis,Vincent,vincent.denis@email.com,mdp123,Eleve
Berthelot,Josette,josette.berthelot@email.com,mdp123,Eleve
Lemaître,Aurélie,aurelie.lemaitre@email.com,mdp123,Eleve
Henry,Victor,victor.henry@email.com,mdp123,Eleve
Diallo,Émilie,emilie.diallo@email.com,profmdp,Professeur
Klein,Anaïs,anais.klein@email.com,profmdp,Professeur
Reynaud,Alexandrie,alexandrie.reynaud@email.com,profmdp,Professeur
Ruiz,Sabine,sabine.ruiz@email.com,profmdp,Professeur
Bazin,Emmanuelle,emmanuelle.bazin@email.com,profmdp,Professeur
Noël,Alex,alex.noel@email.com,profmdp,Professeur
Berger,Gérard,gerard.berger@email.com,profmdp,Professeur
Gaudin,Isabelle,isabelle.gaudin@email.com,profmdp,Professeur
Costa,Lucas,lucas.costa@email.com,profmdp,Professeur
Mary,Éléonore,eleonore.mary@email.com,profmdp,Professeur
Weiss,Manon,manon.weiss@email.com,profmdp,Professeur
Hernandez,Claire,claire.hernandez@email.com,profmdp,Professeur
Martineau,Michel,michel.martineau@email.com,profmdp,Professeur
Daniel,Sébastien,sebastien.daniel@email.com,profmdp,Professeur
Legendre,Noël,noel.legendre@email.com,profmdp,Professeur
Étienne,Nath,nath.etienne@email.com,profmdp,Professeur
Morvan,Jacqueline,jacqueline.morvan@email.com,profmdp,Professeur
